호선,구분,역명,역번,05:30~,06:00~,06:30~,07:00~,07:30~,08:00~,08:30~,09:00~,09:30~,10:00~,10:30~,11:00~,11:30~,12:00~,12:30~,13:00~,13:30~,14:00~,14:30~,15:00~,15:30~,16:00~,16:30~,17:00~,17:30~,18:00~,18:30~,19:00~,19:30~,20:00~,20:30~,21:00~,21:30~,22:00~,22:30~,23:00~,23:30~,24:00~,24:30~
1,상선,서울역,150,9,15,25,29,56,68,88,54,58,37,31,48,37,40,38,39,38,32,33,33,27,29,32,33,29,42,49,37,26,19,18,22,21,21,18,13,10,5,0
1,상선,시청,151,8,13,21,25,41,52,65,49,48,36,27,42,38,38,37,38,37,34,33,34,29,30,34,36,32,51,55,46,29,22,22,25,28,26,22,16,12,9,2
1,상선,종각,152,6,10,16,18,26,34,40,35,38,32,25,39,34,37,35,36,38,35,35,38,33,33,36,41,37,66,68,54,34,30,29,36,40,41,33,23,16,11,2
1,상선,종로3가,153,6,9,16,18,28,38,46,37,35,33,28,35,37,40,40,40,42,39,40,42,40,37,43,47,44,68,76,63,39,34,32,39,45,46,40,25,18,13,2
1,상선,종로5가,154,6,8,13,15,22,29,33,27,30,28,24,31,32,34,37,36,38,37,39,41,40,36,44,49,46,74,80,66,42,36,33,43,43,54,39,26,19,13,2
1,상선,동대문,155,9,8,13,13,20,27,30,25,27,26,23,28,32,32,37,36,38,38,39,41,41,37,46,53,48,69,82,66,43,36,33,40,44,54,41,30,19,16,2
1,상선,신설동,156,8,9,9,11,13,20,22,19,28,24,22,27,31,26,34,31,32,34,35,35,37,33,40,48,61,55,77,59,41,31,33,34,51,51,43,26,18,12,0
1,상선,제기동,157,8,9,9,10,12,17,19,16,23,20,17,21,24,20,26,25,25,28,29,31,34,31,39,47,59,56,76,59,41,30,32,33,48,48,41,25,17,10,12
1,상선,청량리,158,7,7,7,8,10,13,16,14,13,20,13,16,21,16,21,21,17,28,20,32,26,32,29,50,45,45,74,51,39,26,29,24,47,34,33,31,14,8,4
1,상선,동묘앞,159,8,10,10,12,16,25,28,22,22,25,22,25,29,30,34,32,35,34,36,38,38,35,44,41,49,64,77,61,42,31,31,37,40,50,38,28,18,13,1
1,하선,서울역,150,10,15,15,21,32,42,31,25,19,20,24,22,27,31,33,35,36,37,39,45,47,50,56,64,70,105,86,54,50,46,33,42,50,50,49,34,25,9,1
1,하선,시청,151,8,12,14,19,33,37,33,24,19,18,23,21,25,30,29,35,33,39,37,44,43,48,56,57,62,94,80,55,44,39,30,38,47,43,42,31,18,6,2
1,하선,종각,152,9,13,15,23,38,49,50,29,23,19,25,21,27,30,30,34,34,37,37,40,42,44,52,52,54,74,64,47,31,31,24,30,37,38,34,28,17,6,2
1,하선,종로3가,153,12,13,19,28,51,77,69,39,32,24,30,24,30,32,32,34,35,36,36,38,40,42,48,48,49,62,46,37,26,24,18,21,24,26,24,16,12,4,1
1,하선,종로5가,154,14,19,19,34,56,84,79,37,40,33,34,30,34,39,38,38,40,41,39,44,43,43,52,47,56,64,43,34,24,23,17,21,21,24,24,16,14,4,1
1,하선,동대문,155,14,20,20,37,63,83,101,40,44,35,35,31,35,38,37,36,38,38,35,40,38,38,46,41,48,50,35,27,20,18,13,18,17,19,19,13,10,2,1
1,하선,신설동,156,18,22,25,41,66,79,85,43,39,36,31,32,31,37,33,36,35,35,31,40,32,36,39,57,35,45,29,23,17,15,12,17,15,16,15,12,9,2,0
1,하선,제기동,157,17,22,23,40,66,79,82,42,36,36,31,29,28,35,31,33,32,33,30,38,30,34,37,53,31,37,25,19,15,14,11,15,13,16,12,12,9,2,0
1,하선,청량리,158,17,21,22,45,73,71,82,40,37,36,28,29,27,33,26,33,27,29,24,31,23,29,26,43,29,29,20,18,14,12,10,13,14,15,12,10,8,1,0
1,하선,동묘앞,159,13,21,20,42,65,85,91,46,42,39,34,34,34,42,37,36,37,38,34,44,36,39,44,41,47,48,34,26,19,17,13,18,17,16,17,13,9,2,0
2,내선,시청,201,21,24,25,39,65,100,81,50,43,32,39,41,45,41,41,47,45,42,41,45,43,43,53,45,53,60,54,46,30,27,25,36,45,47,43,40,39,14,5
2,내선,을지로입구,202,16,20,19,28,45,75,58,39,34,26,36,36,41,38,39,47,45,43,47,48,47,46,56,51,56,79,71,59,38,36,34,47,56,56,50,47,42,16,7
2,내선,을지로3가,203,16,19,18,26,41,65,47,34,30,24,32,33,35,36,35,42,40,39,42,44,44,44,53,48,56,79,70,62,39,35,34,45,58,52,52,41,56,15,7
2,내선,을지로4가,204,16,17,18,25,37,59,45,31,30,23,30,32,34,35,35,42,40,39,43,45,45,45,54,51,59,84,76,65,41,36,35,46,59,53,55,41,57,15,11
2,내선,동대문역사문화공원,205,22,23,24,37,52,79,65,42,39,28,35,39,39,42,44,48,48,45,51,51,52,50,62,57,67,83,75,65,38,32,33,42,52,50,51,37,51,13,10
2,내선,신당,206,20,26,25,35,55,79,72,43,40,28,35,39,39,42,45,48,48,45,50,50,53,49,64,58,69,79,73,64,38,31,31,38,50,48,49,37,52,16,9
2,내선,상왕십리,207,27,26,37,57,80,74,44,40,30,32,39,39,42,45,47,47,45,50,50,52,48,62,61,63,78,72,61,37,30,29,36,48,46,46,35,49,15,8,0
2,내선,왕십리,208,20,23,22,30,52,75,70,38,37,28,28,36,32,34,40,42,38,37,41,37,43,37,47,47,47,57,53,44,27,22,22,27,34,35,34,26,32,12,7
2,내선,한양대,209,22,21,28,45,66,63,33,28,20,21,33,30,32,35,37,34,35,38,38,43,39,49,48,50,57,54,43,29,23,22,28,35,34,37,26,32,12,7,0
2,내선,뚝섬,210,20,20,20,28,39,60,53,30,25,19,19,32,29,31,34,36,34,35,37,37,42,39,48,48,50,62,57,43,30,22,22,26,35,34,38,25,31,13,6
2,내선,성수,211,10,12,13,17,29,48,38,27,32,25,21,31,31,30,35,36,35,37,40,38,45,41,49,38,43,55,72,51,35,30,32,43,40,41,39,27,29,0,0
2,내선,건대입구,212,11,15,15,21,35,56,50,35,36,26,22,34,30,31,35,37,36,37,38,37,43,38,46,37,42,42,58,42,31,27,30,36,38,37,40,27,26,30,4
2,내선,구의,213,14,18,15,21,38,62,54,38,39,26,22,35,27,33,35,37,35,36,37,36,41,37,44,38,36,42,50,38,27,24,26,32,34,33,35,24,23,26,4
2,내선,강변,214,17,16,16,26,47,73,64,44,47,28,26,33,29,33,36,33,38,33,34,36,39,35,39,40,32,39,46,34,27,23,24,28,31,30,31,22,19,23,4
2,내선,잠실나루,215,16,18,26,46,72,71,44,46,28,27,34,29,34,35,33,38,33,34,37,39,36,39,40,33,39,44,33,26,21,23,26,29,28,29,21,17,27,4,0
2,내선,잠실,216,20,23,42,69,95,101,57,58,39,34,33,36,37,40,38,45,39,39,42,42,43,43,49,38,52,51,36,28,27,25,33,34,33,28,19,13,17,4,0
2,내선,잠실새내,217,20,24,45,71,98,111,62,57,40,33,35,36,37,38,38,45,37,37,41,39,40,39,49,37,47,48,33,28,23,24,31,32,31,26,18,12,14,4,0
2,내선,종합운동장,218,26,17,23,40,65,90,110,61,57,39,33,34,36,35,37,36,44,36,35,39,38,39,38,47,35,44,46,31,26,22,22,29,32,30,25,18,11,13,4
2,내선,삼성,219,18,16,21,35,57,74,88,51,49,36,31,33,35,36,38,39,46,40,39,48,46,48,47,67,45,70,66,50,39,34,34,44,49,47,35,26,15,15,6
2,내선,선릉,220,23,18,24,37,64,78,100,62,56,45,39,37,49,44,48,51,63,53,53,66,64,65,67,95,65,97,96,71,59,45,48,59,67,70,50,35,21,20,8
2,내선,역삼,221,24,18,22,31,52,64,70,48,46,38,37,35,48,45,48,53,60,56,57,70,71,74,75,111,77,127,119,86,71,54,56,69,83,83,61,42,25,25,13
2,내선,강남,222,27,17,19,26,43,55,53,39,35,35,35,35,48,49,50,57,60,61,62,79,79,86,82,126,88,135,128,101,82,68,70,92,112,117,88,63,37,37,19
2,내선,교대,223,26,17,18,26,43,53,50,36,30,34,33,31,46,47,43,53,56,54,61,73,77,84,80,115,91,130,140,109,85,74,72,96,120,125,103,70,41,37,21
2,내선,서초,224,25,15,17,25,38,47,38,31,25,30,31,29,44,46,42,53,55,54,62,74,78,86,82,118,93,139,143,111,86,76,74,95,124,128,105,71,41,37,21
2,내선,방배,225,15,18,25,36,46,35,30,24,29,29,29,43,45,42,52,55,54,61,77,78,89,79,117,94,143,147,115,89,73,79,94,128,127,105,75,43,36,21,0
2,내선,사당,226,20,17,24,35,48,41,32,24,29,30,24,41,41,39,48,51,51,57,69,72,81,74,106,91,116,132,107,85,65,75,87,115,125,103,86,46,38,30,0
2,내선,낙성대,227,27,20,18,24,37,48,41,32,24,27,26,25,39,34,42,47,47,51,55,60,74,78,74,95,89,99,131,99,78,63,71,79,102,118,97,78,42,34,26
2,내선,서울대입구,228,20,18,24,38,50,39,31,22,23,22,23,31,33,39,43,42,46,51,54,68,69,72,83,90,87,117,88,70,56,60,71,91,106,84,68,44,25,27,0
2,내선,봉천,229,23,21,19,27,42,55,43,33,24,24,22,23,31,33,39,43,41,45,49,52,66,66,70,81,87,85,111,83,65,53,57,67,83,100,81,65,41,23,24
2,내선,신림,230,38,26,24,32,54,73,56,41,28,23,26,26,29,33,40,43,40,44,45,48,59,58,64,71,79,67,94,67,52,42,45,50,67,80,68,52,32,18,15
2,내선,신대방,231,35,25,39,63,82,67,46,34,25,28,27,31,36,43,43,41,46,45,47,57,56,63,67,81,63,93,65,50,43,40,47,62,72,61,47,29,16,13,0
2,내선,구로디지털단지,232,74,45,30,48,74,89,62,46,35,27,31,30,33,39,46,47,43,48,46,47,58,59,67,70,85,80,106,73,53,45,41,47,59,70,60,47,29,14,12
2,내선,대림,233,96,68,36,54,79,102,72,54,39,30,34,33,34,41,50,51,44,51,47,46,57,58,64,68,87,76,99,68,49,42,37,42,51,60,50,41,27,12,10
2,내선,신도림,234,26,33,32,50,88,128,102,71,52,32,41,33,37,43,49,51,47,47,42,41,39,47,38,47,47,54,78,50,35,31,26,29,34,38,34,23,19,10,10
2,내선,문래,235,26,33,32,47,81,127,97,70,54,46,50,46,45,43,49,51,46,46,42,41,40,48,42,49,48,51,79,55,41,31,34,38,34,38,34,57,23,17,9
2,내선,영등포구청,236,28,35,30,49,83,127,92,69,54,44,55,45,47,45,48,47,47,46,42,40,38,44,42,46,47,54,75,54,38,29,32,34,33,35,31,43,20,14,8
2,내선,당산,237,32,29,51,80,119,98,70,60,45,58,49,50,49,52,50,53,46,43,42,40,47,45,47,51,57,79,56,41,29,31,34,32,35,30,42,19,14,8,0
2,내선,합정,238,23,26,31,44,71,108,86,63,54,40,57,44,46,45,48,45,47,42,38,38,33,39,37,36,45,45,55,42,29,21,21,27,25,29,23,32,15,10,6
2,내선,홍대입구,239,21,21,32,47,77,119,86,64,51,39,56,49,43,46,46,44,47,42,37,39,33,39,37,38,41,42,47,36,25,21,20,30,30,37,32,35,26,13,6
2,내선,신촌(지하),240,21,21,29,45,75,118,86,59,45,34,52,40,45,44,39,45,44,41,36,40,33,42,38,40,41,43,43,35,24,23,22,35,35,46,38,41,35,14,5
2,내선,이대,241,22,20,27,45,75,112,88,55,44,31,44,38,45,39,40,45,44,40,40,41,38,41,44,44,43,45,44,38,26,24,25,33,41,47,41,40,35,13,5
2,내선,아현,242,20,24,28,42,76,115,94,56,45,32,45,39,45,40,41,46,45,41,40,41,38,42,46,44,44,45,44,37,26,24,25,33,40,46,40,39,40,15,6
2,내선,충정로,243,21,24,29,43,73,112,90,56,46,33,42,40,47,41,42,47,46,42,41,43,42,41,52,42,49,48,47,41,27,24,23,34,41,45,42,39,40,14,5
2,외선,시청,201,12,20,12,20,44,42,32,28,27,27,24,32,36,33,38,40,39,38,43,41,47,50,41,59,56,95,110,67,57,54,59,50,54,61,58,43,31,18,9
2,외선,을지로입구,202,11,23,15,25,53,55,43,34,31,28,25,33,36,33,38,40,37,38,41,38,46,47,39,54,53,86,94,61,51,54,53,46,50,57,54,40,29,17,8
2,외선,을지로3가,203,17,26,19,32,71,76,66,44,37,36,29,40,40,36,41,42,39,40,41,37,45,42,39,49,50,72,78,50,43,41,39,36,39,43,44,27,23,15,6
2,외선,을지로4가,204,18,29,21,40,79,81,67,46,38,37,28,39,38,34,38,38,37,36,37,34,41,37,36,45,45,61,65,44,37,37,36,32,35,41,41,25,22,15,5
2,외선,동대문역사문화공원,205,18,28,21,46,82,84,69,45,42,37,30,41,37,35,40,39,36,36,37,35,40,35,35,43,42,59,59,41,35,36,33,30,34,43,41,25,21,13,4
2,외선,신당,206,21,21,21,52,73,87,62,45,46,35,36,51,41,39,45,45,41,45,42,41,49,40,42,52,48,71,73,55,48,49,45,41,43,54,50,29,25,17,3
2,외선,상왕십리,207,22,19,47,70,84,61,43,46,35,35,51,40,39,45,43,42,45,41,41,50,41,41,51,48,73,75,57,48,50,48,40,44,55,49,29,27,16,1,0
2,외선,왕십리,208,16,20,17,44,65,80,57,40,47,35,34,49,39,38,44,42,41,44,41,40,50,41,46,47,48,72,73,58,49,51,47,41,45,58,51,31,26,17,1
2,외선,한양대,209,15,13,37,50,56,36,29,34,24,25,37,28,30,34,33,32,35,34,34,42,34,38,39,40,64,63,48,40,42,41,36,39,50,43,26,21,15,1,0
2,외선,뚝섬,210,10,17,13,37,50,58,36,30,39,26,28,38,29,30,34,32,32,34,30,33,38,28,32,34,38,61,57,48,36,39,37,32,35,43,36,26,20,12,0
2,외선,성수,211,9,18,13,36,49,59,41,31,38,27,31,35,28,30,34,31,31,33,30,32,37,27,31,32,37,53,52,43,34,37,35,30,33,42,35,25,20,0,0
2,외선,건대입구,212,29,26,22,42,70,72,54,34,33,21,27,37,28,32,35,32,32,34,30,33,37,33,37,42,41,46,45,40,30,28,33,31,36,43,35,26,20,8,5
2,외선,구의,213,25,21,20,41,58,59,41,30,28,19,26,36,28,32,35,31,33,32,30,34,37,35,42,46,41,53,55,49,36,32,37,38,40,47,39,26,19,9,6
2,외선,강변,214,18,17,18,35,50,50,34,27,26,19,23,34,27,30,33,29,32,31,30,34,37,35,42,45,41,55,55,52,38,34,39,39,46,54,37,28,21,10,7
2,외선,잠실나루,215,17,17,31,42,44,29,24,21,17,21,29,25,28,30,30,32,32,29,36,38,39,42,45,42,62,62,56,42,36,42,43,51,61,39,33,25,10,9,0
2,외선,잠실,216,16,16,30,38,40,27,22,21,17,21,28,24,28,30,29,31,33,29,35,39,38,41,44,42,64,59,57,42,37,42,45,52,63,41,35,27,10,10,0
2,외선,잠실새내,217,20,16,26,36,37,31,30,24,17,23,30,28,31,33,32,36,37,34,41,43,44,50,51,50,81,80,76,52,52,45,57,65,80,58,52,41,16,17,0
2,외선,종합운동장,218,13,19,15,22,30,32,27,28,22,16,24,28,27,30,32,31,36,38,34,41,43,44,51,50,52,83,84,80,55,52,47,58,66,81,58,53,38,15,16
2,외선,삼성,219,11,19,15,21,30,30,27,27,20,16,23,26,26,31,30,30,35,36,33,40,41,42,53,48,52,87,83,78,52,51,49,57,68,85,49,51,36,15,15
2,외선,선릉,220,29,24,20,32,46,50,57,49,40,25,33,34,34,38,36,37,43,40,36,43,42,43,53,45,51,75,75,70,49,41,42,49,60,73,45,47,35,15,11
2,외선,역삼,221,51,28,30,48,66,76,86,77,55,38,47,44,44,50,45,49,57,50,47,54,52,52,63,52,61,87,87,79,53,51,50,57,71,79,52,57,44,18,12
2,외선,강남,222,59,33,36,60,83,97,118,104,74,48,57,51,50,55,48,53,64,53,48,55,52,53,61,49,57,71,78,68,49,50,42,51,64,74,52,51,37,17,13
2,외선,교대,223,75,39,50,84,102,121,138,131,91,59,74,59,57,61,55,58,75,59,54,59,57,55,60,53,60,72,84,69,48,49,37,42,51,53,39,40,31,15,13
2,외선,서초,224,79,45,54,89,108,134,152,140,86,63,75,57,58,58,57,54,74,55,51,55,52,50,57,49,55,61,74,58,43,43,34,38,46,44,37,36,30,14,13
2,외선,방배,225,46,57,100,114,141,161,146,82,67,76,57,59,55,55,59,69,51,50,52,47,50,52,48,50,53,73,51,41,40,32,35,40,44,35,36,26,14,13,0
2,외선,사당,226,49,58,97,116,148,170,139,83,72,73,57,60,59,53,59,66,51,49,52,45,50,51,47,50,50,72,50,40,36,32,36,39,41,37,36,25,13,11,0
2,외선,낙성대,227,77,49,61,101,113,139,154,116,71,63,67,54,54,54,48,56,56,45,43,46,41,49,48,45,48,48,70,48,38,35,33,36,39,40,37,35,26,13,12
2,외선,서울대입구,228,47,57,90,106,128,144,108,64,57,62,50,51,50,46,54,53,42,42,43,41,46,46,42,47,49,68,48,39,34,33,37,42,37,41,37,24,15,13,0
2,외선,봉천,229,67,41,55,77,92,111,128,98,58,52,58,46,47,45,41,49,49,38,38,39,37,41,40,37,42,45,64,47,39,33,31,34,39,34,37,36,24,15,12
2,외선,신림,230,62,41,51,70,87,103,119,91,54,51,53,44,44,45,40,47,47,37,38,38,37,40,39,37,43,45,67,49,40,34,32,35,41,35,40,38,26,17,13
2,외선,신대방,231,34,39,56,67,79,91,72,41,46,44,38,38,39,35,43,42,34,35,36,35,40,37,39,44,54,78,61,49,40,38,42,50,43,51,49,35,23,20,0
2,외선,구로디지털단지,232,42,27,39,54,62,73,83,62,39,44,43,37,37,38,35,43,41,35,35,38,36,43,36,43,46,62,86,67,55,42,42,51,59,45,59,53,39,20,23
2,외선,대림,233,35,24,39,48,60,83,96,68,49,46,44,36,41,37,37,46,42,37,41,40,40,47,39,46,51,59,89,72,62,44,48,58,73,52,70,67,50,28,25
2,외선,신도림,234,24,23,34,44,52,80,83,50,36,31,31,30,41,37,38,46,42,37,43,41,42,51,48,51,64,71,94,64,44,40,53,52,53,51,81,55,32,18,13
2,외선,문래,235,27,33,37,36,73,84,56,31,26,26,22,26,35,32,32,41,35,35,39,40,42,53,48,64,66,85,108,73,53,49,63,67,63,77,85,71,36,21,13
2,외선,영등포구청,236,26,32,35,33,71,87,59,32,27,27,22,26,36,31,31,40,35,34,39,39,42,53,47,62,62,83,105,70,53,49,63,67,63,77,85,71,37,19,14
2,외선,당산,237,29,29,31,67,78,50,30,23,27,21,23,32,30,30,38,34,33,37,38,40,49,46,60,60,74,100,69,53,52,64,68,64,83,89,75,40,21,13,0
2,외선,합정,238,22,28,27,30,66,81,51,28,22,25,19,27,30,30,32,40,34,35,39,38,43,54,47,63,58,82,101,70,58,54,69,72,69,90,91,80,44,24,16
2,외선,홍대입구,239,18,18,17,19,44,51,31,20,16,18,16,25,26,25,29,35,31,32,37,37,41,51,44,57,52,79,92,61,55,51,66,61,63,83,76,70,40,21,16
2,외선,신촌(지하),240,19,16,15,14,33,38,25,17,18,18,17,26,29,27,34,37,36,37,40,40,47,55,45,62,55,90,102,68,59,54,66,57,59,71,66,56,34,19,11
2,외선,이대,241,16,16,14,17,38,38,27,21,21,21,20,29,32,29,36,38,38,37,41,39,46,51,43,60,53,90,108,67,60,52,60,50,54,57,56,47,30,18,10
2,외선,아현,242,15,17,14,18,40,39,30,26,25,26,23,32,35,33,38,39,38,38,41,40,46,50,40,57,54,93,109,69,58,51,58,49,52,56,57,43,29,17,8
2,외선,충정로,243,13,20,12,18,39,38,29,26,25,25,24,31,35,33,38,40,38,37,42,40,46,51,40,59,54,94,111,67,58,53,60,50,53,61,57,42,30,18,9
3,상선,지축,309,28,21,14,16,17,28,21,17,20,12,17,20,20,19,25,23,25,24,32,33,33,30,40,36,45,78,85,88,73,40,46,48,54,43,47,48,35,20,21
3,상선,구파발,310,29,15,9,10,15,17,10,8,10,7,10,12,14,11,25,22,19,13,24,25,33,29,21,29,42,41,44,49,36,29,23,29,27,25,29,22,15,10,1
3,상선,연신내,311,33,20,11,11,17,20,12,11,11,10,10,14,17,18,25,26,22,22,25,32,40,35,32,35,43,49,64,51,45,35,35,30,35,32,36,28,19,13,4
3,상선,불광,312,28,20,11,13,17,19,13,12,13,12,13,16,19,21,30,31,28,26,31,40,51,44,42,47,59,69,90,71,63,48,47,40,48,45,49,38,27,19,10
3,상선,녹번,313,14,9,12,16,17,12,12,14,12,13,17,20,23,33,32,29,28,33,45,54,47,45,51,64,75,98,76,68,51,51,43,51,48,52,42,30,22,13,0
3,상선,홍제,314,22,16,10,12,16,17,13,12,14,12,14,17,21,24,34,32,29,29,35,47,56,48,49,58,69,82,107,83,74,57,55,48,55,52,57,46,33,24,15
3,상선,무악재,315,18,17,10,13,15,18,14,14,16,13,15,19,23,26,37,35,32,32,37,53,60,52,53,62,76,87,114,91,77,62,59,53,59,63,60,50,33,24,17
3,상선,독립문,316,18,17,9,12,15,18,14,14,16,13,15,19,23,26,36,36,32,33,39,59,59,52,54,63,77,89,117,93,79,64,60,56,60,65,61,50,34,25,10
3,상선,경복궁,317,18,17,9,14,16,19,15,15,17,14,17,19,24,28,38,37,32,34,41,59,60,53,54,68,81,98,114,94,80,66,59,57,61,66,63,52,36,26,12
3,상선,안국,318,19,18,11,18,23,30,32,24,28,22,26,28,33,36,49,45,38,39,45,63,64,54,56,70,83,95,114,94,79,63,57,58,60,67,63,52,36,27,12
3,상선,종로3가,319,19,18,15,28,39,41,45,34,38,28,34,36,43,43,58,51,44,43,49,68,66,55,56,69,82,91,108,93,77,59,55,55,55,65,59,49,33,23,12
3,상선,을지로3가,320,9,12,11,25,30,38,39,29,30,25,29,34,38,39,52,44,38,37,44,57,52,45,47,59,67,79,90,76,63,49,45,45,45,52,48,37,26,20,10
3,상선,충무로,321,10,9,11,24,34,45,46,33,31,26,30,34,38,40,50,42,38,37,47,56,50,43,45,56,62,70,81,68,55,43,39,40,39,46,42,31,22,18,10
3,상선,동대입구,322,9,8,10,23,35,47,48,32,31,26,30,38,41,45,54,45,39,42,50,60,57,46,49,59,69,75,94,78,66,50,46,45,43,50,45,34,23,17,9
3,상선,약수,323,8,11,24,36,50,54,34,32,30,32,39,42,45,54,46,39,41,49,58,56,44,46,55,64,71,90,75,61,48,41,42,39,47,43,31,21,17,9,0
3,상선,금호,324,11,7,11,22,34,50,53,34,34,32,33,44,44,47,58,49,43,44,53,65,58,48,52,66,72,85,102,90,70,58,48,50,45,59,49,35,26,19,5
3,상선,옥수,325,9,7,10,20,32,49,46,33,31,30,32,43,43,49,54,48,41,46,54,65,59,49,53,67,71,89,104,92,71,59,49,51,46,61,51,36,26,18,6
3,상선,압구정,326,8,7,11,21,31,50,42,33,31,30,33,45,43,51,57,51,44,50,60,73,64,53,58,73,78,100,113,103,79,66,53,60,52,67,57,41,29,20,4
3,상선,신사,327,7,8,11,22,35,55,50,44,38,34,39,49,46,57,54,51,47,50,60,70,58,52,57,71,71,98,102,90,68,57,46,52,48,59,49,34,25,19,4
3,상선,잠원,328,10,14,25,43,60,60,57,50,41,46,53,50,64,58,54,48,53,64,70,57,52,58,70,70,90,98,83,62,53,40,46,42,49,43,29,23,17,5,0
3,상선,고속터미널,329,7,10,14,25,42,59,60,56,50,40,45,52,50,63,56,54,49,54,65,70,58,53,58,70,70,97,94,84,62,53,43,46,42,51,44,30,24,18,6
3,상선,교대,330,8,11,19,32,49,67,60,56,48,42,51,60,57,73,63,58,54,60,74,78,64,64,70,87,83,128,118,103,74,59,49,54,51,60,54,35,26,21,6
3,상선,남부터미널,331,7,8,17,31,45,64,53,45,40,37,44,50,49,58,51,45,42,45,56,60,49,49,54,70,67,104,98,81,60,46,38,42,42,46,41,24,18,16,4
