호선,구분,역명,역번,05:30~,06:00~,06:30~,07:00~,07:30~,08:00~,08:30~,09:00~,09:30~,10:00~,10:30~,11:00~,11:30~,12:00~,12:30~,13:00~,13:30~,14:00~,14:30~,15:00~,15:30~,16:00~,16:30~,17:00~,17:30~,18:00~,18:30~,19:00~,19:30~,20:00~,20:30~,21:00~,21:30~,22:00~,22:30~,23:00~,23:30~,24:00~,24:30~
3,상선,양재,332,8,9,18,31,47,65,58,43,39,35,40,44,43,53,43,37,36,38,49,48,39,43,46,57,57,79,81,67,48,35,31,32,34,38,29,19,15,9,3
3,상선,매봉,333,7,8,14,26,40,56,52,34,31,25,28,29,30,36,29,26,25,24,32,31,25,27,30,35,33,41,42,32,23,17,15,16,17,21,16,10,8,6,2
3,상선,도곡,334,7,9,14,24,42,56,53,34,29,24,27,28,29,34,28,24,24,22,29,27,23,24,28,32,31,32,38,27,19,15,13,14,15,20,14,9,7,6,2
3,상선,대치,335,6,8,14,21,40,50,44,30,25,21,23,23,26,30,24,21,20,20,25,22,20,21,24,27,28,27,31,22,16,12,11,11,13,18,11,8,6,5,2
3,상선,학여울,336,6,6,12,18,35,45,41,27,22,19,22,21,24,26,21,19,18,19,23,20,18,18,22,24,25,23,29,18,13,10,9,9,10,9,8,7,5,5,2
3,상선,대청,337,6,5,11,21,33,51,35,27,21,20,22,20,23,26,21,19,16,18,22,19,17,18,22,24,23,26,25,18,12,10,9,9,9,9,8,6,5,5,2
3,상선,일원,338,6,5,10,18,30,45,33,24,19,18,19,18,21,23,19,17,15,17,20,18,15,15,18,22,17,21,22,15,11,8,8,8,8,8,7,6,5,5,2
3,상선,수서,339,5,5,11,17,28,43,30,21,17,16,17,16,17,19,15,15,13,14,17,14,12,13,13,15,15,20,21,14,10,7,7,7,9,8,7,6,5,4,2
3,상선,가락시장,340,9,14,19,24,39,49,34,20,18,15,15,13,16,17,14,13,12,14,15,13,10,15,15,16,21,22,19,13,9,7,7,7,8,8,6,6,5,3,0
3,상선,경찰병원,341,6,10,12,18,29,35,23,13,13,10,10,9,11,11,9,8,8,10,9,8,7,9,10,10,13,14,11,7,5,5,4,4,4,4,4,3,3,1,0
3,상선,오금,342,5,8,10,14,24,30,21,12,10,9,9,6,9,8,8,7,7,8,8,6,5,7,8,8,10,9,8,6,5,4,3,4,3,4,3,3,3,0,0
3,하선,지축,309,26,24,43,74,90,86,66,75,43,46,38,40,33,33,31,28,30,25,27,25,24,26,30,32,29,36,32,27,19,14,14,13,12,14,20,13,7,3,6
3,하선,구파발,310,11,19,32,47,66,70,55,41,41,42,28,35,24,31,28,35,27,23,20,23,29,26,24,18,25,22,21,16,12,13,10,10,11,13,14,6,5,3,4
3,하선,연신내,311,20,25,37,54,75,98,69,57,48,46,40,35,30,35,33,42,31,27,21,26,32,31,24,20,22,20,20,17,12,10,9,10,10,12,11,8,5,2,4
3,하선,불광,312,29,28,45,61,92,118,83,68,60,51,46,40,38,37,38,50,38,32,25,29,36,36,28,24,24,25,23,20,14,12,11,12,12,13,12,8,7,3,4
3,하선,녹번,313,31,49,68,98,132,95,70,69,55,49,41,42,40,41,52,40,34,27,30,37,38,30,26,26,28,24,20,15,12,11,13,11,13,13,8,7,3,4,0
3,하선,홍제,314,37,34,49,75,105,140,101,77,74,60,55,45,46,40,47,57,46,36,31,31,41,42,35,28,30,30,26,21,15,13,12,13,12,13,14,10,6,4,3
3,하선,무악재,315,38,35,50,77,105,140,111,81,79,61,56,46,48,42,47,55,46,37,31,31,41,44,35,28,30,30,27,21,16,12,12,13,12,13,14,10,6,4,3
3,하선,독립문,316,26,37,51,76,103,139,117,83,78,62,57,50,47,43,49,53,53,37,34,31,42,45,37,29,30,32,28,22,17,12,13,14,12,13,14,11,6,4,3
3,하선,경복궁,317,26,36,46,73,97,133,112,81,79,64,59,54,49,48,52,60,60,45,40,41,50,61,51,39,40,50,37,30,22,18,17,21,19,21,20,15,8,4,3
3,하선,안국,318,26,35,43,64,86,126,104,76,75,62,57,54,49,51,54,66,67,57,45,48,59,74,62,50,46,69,54,40,29,24,22,29,25,28,24,18,11,5,3
3,하선,종로3가,319,22,27,35,51,67,99,85,63,58,49,49,41,40,41,44,54,57,50,40,44,50,66,61,43,41,63,55,40,28,22,21,25,24,27,24,18,11,5,4
3,하선,을지로3가,320,20,25,26,40,53,78,70,54,49,44,44,38,39,39,43,55,57,52,41,45,52,69,62,45,43,72,64,47,31,24,25,28,27,33,27,22,14,7,4
3,하선,충무로,321,20,31,30,47,57,87,73,63,53,47,49,41,41,41,48,57,63,57,41,50,55,75,66,49,46,70,69,50,35,26,26,30,28,34,29,27,15,8,5
3,하선,동대입구,322,19,28,29,46,53,83,65,60,50,41,44,39,36,40,44,53,64,52,45,49,54,76,67,52,46,73,70,52,36,27,27,32,31,35,30,27,15,8,5
3,하선,약수,323,34,33,54,62,97,76,69,58,46,50,42,41,43,47,56,70,58,48,53,57,75,71,57,48,74,74,54,38,29,28,33,31,36,33,29,18,8,7,0
3,하선,금호,324,28,35,33,53,64,100,83,70,61,47,51,42,41,44,48,57,70,57,47,52,57,72,73,56,46,70,72,53,38,28,26,31,30,34,32,27,17,7,7
3,하선,옥수,325,32,38,37,56,70,109,93,80,67,52,56,47,44,48,49,61,74,61,51,51,59,74,76,58,48,70,76,52,38,28,26,31,29,33,31,27,19,8,7
3,하선,압구정,326,15,33,34,52,62,91,82,63,55,44,49,43,42,44,47,51,72,59,53,52,59,76,76,60,49,66,83,58,44,34,31,31,35,37,34,30,19,8,6
3,하선,신사,327,17,33,29,48,57,84,73,53,47,39,43,41,40,44,44,50,71,60,52,54,56,77,80,65,52,72,86,65,48,39,36,39,43,46,44,37,24,11,5
3,하선,잠원,328,32,29,49,57,83,78,53,48,40,44,41,41,45,44,51,72,60,53,54,56,75,82,66,52,69,88,64,48,38,35,38,43,46,42,39,23,10,5,0
3,하선,고속터미널,329,18,39,35,59,78,112,108,70,61,49,50,46,45,49,49,58,84,70,59,57,62,80,89,71,56,74,94,71,56,45,41,41,49,48,44,40,24,11,7
3,하선,교대,330,20,36,32,48,72,93,95,53,46,37,37,35,34,37,39,47,60,54,47,44,49,64,72,62,46,57,72,57,46,36,34,35,41,41,39,36,24,10,6
3,하선,남부터미널,331,18,28,27,41,59,75,68,43,37,30,29,28,28,31,33,40,47,49,40,38,40,53,61,54,41,56,67,52,43,35,33,33,41,38,38,34,23,9,5
3,하선,양재,332,7,19,15,21,31,36,29,20,18,18,18,17,18,19,22,26,30,32,27,25,27,35,44,42,30,42,47,36,31,26,25,26,31,30,29,25,18,8,4
3,하선,매봉,333,8,17,14,19,27,30,23,16,16,16,16,16,17,18,21,24,28,31,29,23,26,34,43,41,30,39,49,37,30,26,24,25,30,28,29,24,17,7,4
3,하선,도곡,334,8,15,12,17,24,26,21,12,13,13,13,15,13,15,19,22,24,26,25,21,24,27,39,36,26,32,41,31,26,22,21,21,25,25,25,22,16,7,4
3,하선,대치,335,8,14,12,13,23,23,18,11,11,11,11,13,11,12,14,17,19,22,20,18,20,24,33,31,22,29,37,28,24,20,18,20,23,27,25,18,13,6,3
3,하선,학여울,336,8,14,11,13,23,24,17,10,10,10,10,12,11,12,13,16,18,21,20,17,20,23,33,31,22,26,37,28,24,21,18,19,23,26,24,17,14,6,3
3,하선,대청,337,7,11,10,12,21,22,16,9,10,9,10,11,11,11,12,15,16,20,18,16,17,21,30,28,22,26,34,25,22,18,16,18,20,23,20,15,11,5,3
3,하선,일원,338,6,10,8,9,16,18,17,8,8,7,8,9,9,9,10,12,13,17,15,14,16,19,28,27,22,24,32,23,20,17,15,16,18,20,17,14,11,4,2
3,하선,수서,339,7,8,7,8,15,17,17,8,8,5,8,8,10,9,10,11,13,15,15,13,15,19,26,27,21,23,30,26,18,16,14,12,19,17,15,10,11,5,2
3,하선,가락시장,340,0,5,4,5,10,12,13,7,6,7,7,7,10,7,6,7,8,10,10,9,10,12,17,19,14,14,27,28,18,14,13,9,14,11,14,14,11,6,4
3,하선,경찰병원,341,0,5,4,4,8,9,8,4,4,5,5,5,6,5,5,6,7,8,8,8,9,10,15,16,14,13,21,19,13,10,10,8,11,9,10,10,7,3,2
3,하선,오금,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,상선,당고개,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,상선,상계,410,5,2,2,3,2,2,1,2,1,2,2,2,3,3,3,3,3,3,4,4,4,5,6,6,7,7,6,5,4,4,4,5,6,6,5,4,3,2,0
4,상선,노원,411,9,4,5,8,5,5,2,3,3,4,5,5,6,7,7,7,7,8,9,11,11,14,15,17,18,18,16,14,12,11,11,12,15,16,13,11,7,5,0
4,상선,창동,412,0,18,9,12,17,13,11,8,10,7,9,10,11,13,15,16,16,14,16,18,20,20,27,29,33,37,38,32,25,20,20,20,22,26,28,22,18,13,9
4,상선,쌍문,413,0,24,14,17,22,19,15,12,15,11,14,16,16,21,22,23,25,23,26,28,32,32,44,46,54,57,62,54,41,34,33,33,37,43,44,37,30,17,12
4,상선,수유,414,37,17,14,17,20,17,14,12,14,11,15,16,16,22,23,25,27,26,29,33,38,37,52,53,64,67,79,68,53,43,41,42,48,56,56,46,39,22,15
4,상선,미아,415,37,18,14,15,17,17,15,12,14,13,18,18,20,23,26,28,28,29,33,37,43,44,59,61,76,76,96,83,61,55,51,50,58,66,68,56,48,27,19
4,상선,미아삼거리,416,16,14,14,18,17,17,13,14,13,18,19,21,23,28,29,30,31,34,40,44,50,59,66,79,83,99,84,66,57,54,52,61,72,67,60,52,29,20,0
4,상선,길음,417,37,18,15,14,17,19,14,13,15,14,19,20,23,26,30,31,31,33,39,43,49,54,63,74,87,92,110,95,75,60,57,60,69,80,75,68,48,32,22
4,상선,성신여대입구,418,31,18,15,13,16,18,17,15,17,17,21,23,28,28,32,35,34,37,42,46,52,57,67,79,93,100,121,101,79,66,60,65,75,84,85,73,53,34,22
4,상선,한성대입구,419,31,19,16,14,17,22,21,15,22,19,24,27,33,32,36,38,37,41,47,52,57,63,79,84,102,111,134,112,86,69,69,69,87,91,94,80,59,38,15
4,상선,혜화,420,32,20,16,15,19,27,21,16,24,20,25,29,36,33,39,39,40,43,51,54,60,66,82,89,105,116,136,115,86,71,71,71,90,94,97,80,57,37,19
4,상선,동대문,421,29,22,19,22,26,34,36,28,34,29,34,36,45,40,48,49,49,52,59,58,68,72,85,98,114,124,146,124,89,74,68,72,89,92,87,80,57,37,20
4,상선,동대문역사문화공원,422,22,22,20,23,29,35,39,33,36,33,39,40,48,44,51,51,53,54,59,61,68,71,83,96,107,117,141,121,85,74,67,71,88,90,85,78,56,37,20
4,상선,충무로,423,14,15,16,18,20,32,30,27,28,27,31,33,37,36,42,45,45,45,49,51,53,59,68,79,81,96,96,83,64,54,49,56,65,66,61,53,37,26,15
4,상선,명동,424,12,16,17,20,22,41,32,33,31,31,33,35,38,38,42,44,43,45,47,48,48,52,62,70,68,77,75,64,48,42,38,43,51,52,46,40,26,18,9
4,상선,회현,425,12,17,19,23,27,49,41,38,34,33,34,35,40,39,46,45,43,45,44,47,44,51,57,63,63,68,66,56,42,35,31,33,37,40,32,30,23,17,9
4,상선,서울역,426,11,18,22,27,32,51,51,44,38,37,39,40,43,42,44,43,41,41,39,41,38,43,47,49,51,54,56,47,35,28,26,30,34,36,31,28,22,16,9
4,상선,숙대입구,427,16,17,19,25,32,49,48,38,34,28,30,28,32,32,33,31,32,28,30,30,28,31,34,38,36,39,40,31,24,19,18,20,24,26,22,21,16,12,8
4,상선,삼각지,428,14,16,19,27,34,54,49,39,32,33,31,29,32,32,32,30,32,29,28,27,26,30,30,35,32,36,38,30,23,17,17,18,22,23,21,21,13,12,9
4,상선,신용산,429,18,21,30,37,61,51,44,37,36,33,33,33,34,35,33,34,31,30,28,27,33,33,39,35,39,44,34,26,20,19,21,25,25,24,23,16,11,10,0
4,상선,이촌,430,15,18,22,33,40,65,55,48,36,37,32,35,32,35,35,32,32,32,30,27,28,32,32,38,33,34,41,31,23,18,18,19,23,23,23,21,15,11,10
4,상선,동작,431,16,23,23,35,50,65,58,45,40,37,34,36,34,37,36,36,33,35,30,29,31,35,36,40,38,39,48,34,27,21,21,25,26,29,27,23,18,12,11
4,상선,총신대입구,432,18,25,27,40,51,77,60,48,41,39,35,37,33,39,37,36,35,36,29,33,30,36,38,40,38,41,47,33,25,21,21,25,28,29,26,24,16,13,0
4,상선,사당,433,26,26,41,50,77,64,58,35,41,41,40,27,41,40,37,39,33,33,37,34,41,39,41,39,45,56,36,28,20,25,25,29,31,27,25,18,15,2,0
4,상선,남태령,434,20,31,38,89,102,107,103,115,77,73,59,71,64,56,54,66,60,51,44,52,53,55,54,69,70,85,100,66,46,33,34,28,27,22,27,26,18,12,3
4,하선,당고개,409,3,4,8,12,11,9,7,6,5,5,5,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,2,2,1,2,1,2,1,1,1,0,0,0
4,하선,상계,410,8,15,26,34,29,24,18,15,13,11,11,10,10,10,10,9,8,8,8,7,8,8,8,8,7,6,6,4,4,4,4,4,6,4,3,2,1,0,0
4,하선,노원,411,14,24,35,49,50,40,28,24,22,19,20,19,18,17,19,17,16,15,14,16,16,17,18,16,14,14,12,10,11,10,11,12,15,14,12,9,4,0,0
4,하선,창동,412,19,20,28,40,62,72,67,48,40,37,33,36,31,29,29,30,27,26,24,24,25,27,25,22,18,22,22,18,15,12,16,15,15,18,18,15,12,4,6
4,하선,쌍문,413,31,25,36,54,83,95,85,62,50,47,41,42,38,36,34,34,33,29,27,27,27,28,28,24,21,23,23,19,16,13,17,15,15,17,17,14,11,4,6
4,하선,수유,414,38,30,42,62,97,115,102,75,57,54,48,48,44,41,40,39,36,34,30,30,30,32,31,26,25,27,21,20,17,16,14,16,15,16,16,15,11,3,5
4,하선,미아,415,45,32,45,64,101,122,106,83,61,58,50,50,47,44,41,43,38,35,32,33,32,33,33,28,25,28,24,20,18,16,14,16,16,16,16,16,11,4,5
4,하선,미아삼거리,416,36,48,71,111,132,122,91,65,63,54,53,52,47,44,45,43,37,34,35,34,35,37,30,27,29,25,21,19,18,16,17,17,16,16,16,13,4,5,0
4,하선,길음,417,64,36,54,77,120,142,135,101,73,67,58,55,55,51,48,47,45,40,37,39,37,37,42,33,31,33,27,23,21,19,17,18,18,18,17,17,14,4,4
4,하선,성신여대입구,418,68,40,57,82,130,153,144,111,79,73,64,60,60,58,53,52,51,45,41,46,42,41,47,39,35,37,34,26,25,22,20,22,22,23,21,21,16,5,4
4,하선,한성대입구,419,54,41,56,80,128,160,147,117,86,76,68,62,62,61,55,54,54,47,44,49,47,44,52,43,38,40,37,28,26,23,23,25,25,26,24,23,20,7,4
4,하선,혜화,420,57,42,53,79,121,151,143,114,83,76,69,66,65,68,61,59,59,53,51,60,56,55,63,56,46,53,44,35,33,31,32,38,42,59,45,42,32,12,6
4,하선,동대문,421,59,41,50,71,114,142,141,113,85,71,67,64,66,68,62,60,63,55,54,63,60,59,68,61,51,59,50,36,30,35,33,37,43,58,49,42,31,12,6
4,하선,동대문역사문화공원,422,46,30,35,47,73,92,105,81,66,56,55,51,56,55,50,48,51,45,45,51,50,49,55,49,42,46,41,30,24,29,27,31,33,43,39,33,24,9,5
4,하선,충무로,423,40,23,26,36,53,68,74,59,53,43,45,45,50,48,46,44,45,42,45,49,48,49,53,51,43,51,46,36,31,28,31,33,36,44,39,33,23,8,4
4,하선,명동,424,38,22,24,33,47,60,59,51,43,37,39,39,44,43,40,40,40,38,40,45,46,47,50,49,40,53,48,38,32,30,34,38,43,53,45,37,23,8,4
4,하선,회현,425,25,23,21,27,38,48,44,39,32,29,29,30,35,36,36,36,37,37,38,45,46,49,54,54,44,59,54,42,35,34,39,39,44,53,45,39,27,12,4
4,하선,서울역,426,25,15,14,18,24,32,29,24,23,21,20,21,25,26,26,28,28,28,30,33,34,37,41,43,37,53,47,44,29,27,25,38,36,42,36,31,23,12,5
4,하선,숙대입구,427,27,16,13,17,23,28,24,22,20,18,19,20,23,24,25,27,26,28,29,34,34,38,43,44,38,53,47,45,30,27,26,39,37,43,37,31,23,11,5
4,하선,삼각지,428,30,19,14,21,25,35,29,26,24,20,21,22,24,26,27,28,27,31,30,36,36,39,45,49,41,56,59,43,33,29,28,41,41,49,42,35,25,12,5
4,하선,신용산,429,18,13,19,24,31,23,22,21,18,19,21,23,25,26,26,28,30,29,35,36,39,45,50,42,60,61,45,35,30,35,36,42,50,42,36,26,13,7,0
4,하선,이촌,430,37,21,16,21,29,37,27,25,25,20,23,24,25,30,29,28,30,32,31,36,39,41,49,53,47,58,66,52,38,31,37,38,45,52,48,37,31,14,6
4,하선,동작,431,0,24,15,22,27,37,32,25,26,21,23,24,25,30,29,29,30,32,32,36,39,43,47,57,49,58,73,57,43,33,39,39,47,53,51,39,36,16,7
4,하선,총신대입구,432,0,31,19,23,32,42,32,27,27,22,25,26,26,31,31,29,31,31,32,35,41,43,46,55,49,54,72,58,44,34,40,40,48,54,52,41,36,16,5
4,하선,사당,433,28,17,18,27,40,25,21,16,20,19,20,15,21,23,23,28,25,22,32,27,34,43,33,42,41,65,47,38,17,43,43,36,60,39,46,30,11,6,0
4,하선,남태령,434,23,39,32,40,54,78,49,37,31,28,37,38,39,35,38,46,48,42,44,54,61,56,60,81,84,81,109,95,65,50,86,65,54,80,65,61,67,20,14
5,상선,방화,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,상선,개화산,2512,4,2,1,1,3,6,3,1,1,1,2,2,2,2,2,2,3,2,2,3,3,3,4,4,5,5,6,5,4,4,5,4,5,5,5,4,3,3,2
5,상선,김포공항,2513,6,3,3,3,7,10,6,2,2,3,3,3,3,4,4,4,4,4,4,4,5,6,7,7,8,10,10,8,7,8,8,8,7,8,8,6,5,5,3
5,상선,송정,2514,21,12,10,13,18,18,8,4,5,6,7,7,8,9,8,9,8,8,8,9,9,11,11,13,14,18,14,10,8,8,9,9,8,9,8,6,5,4,3
5,상선,마곡,2515,24,14,11,15,22,20,10,5,6,7,8,9,9,10,10,10,9,10,10,11,11,13,14,16,18,23,19,15,11,12,12,12,11,12,11,9,7,6,4
5,상선,발산,2516,26,16,13,17,25,26,11,6,7,8,9,9,10,10,11,11,10,11,11,12,12,14,16,18,19,24,22,17,14,15,15,14,14,15,14,10,9,7,6
5,상선,우장산,2517,25,21,23,33,33,19,9,12,10,12,12,13,12,14,13,14,12,13,14,15,16,19,20,23,29,28,23,18,18,18,15,16,18,16,12,12,9,7,0
5,상선,화곡,2518,31,24,20,25,37,37,18,10,13,11,13,13,15,13,16,16,17,15,16,17,19,20,24,25,30,37,38,32,26,26,25,22,24,26,24,19,19,14,11
5,상선,까치산,2519,25,24,20,25,37,35,18,11,14,12,15,15,17,16,20,19,21,19,20,23,25,27,32,35,45,58,59,52,43,44,38,38,36,44,40,34,30,23,16
5,상선,신정,2520,18,22,14,15,23,20,12,8,11,11,12,13,15,16,17,19,19,18,21,24,27,31,35,40,49,66,65,53,44,48,44,42,42,51,46,36,32,25,19
5,상선,목동,2521,15,21,13,14,21,18,11,8,11,11,12,13,16,17,18,20,20,20,23,26,29,34,38,44,55,73,72,58,51,55,50,48,48,58,52,41,36,27,21
5,상선,오목교,2522,14,21,14,15,21,19,12,9,13,13,14,15,18,19,21,23,24,23,27,31,34,40,45,52,66,85,87,69,62,64,59,56,56,71,62,49,44,32,25
5,상선,양평,2523,14,22,16,17,23,26,21,13,20,18,20,20,22,25,27,29,30,29,32,36,40,45,53,60,78,97,99,78,70,67,63,58,60,72,67,54,49,36,29
5,상선,영등포구청,2524,14,23,14,17,24,30,23,15,22,19,21,21,23,25,28,29,31,29,34,37,41,46,54,60,78,96,100,78,71,68,64,60,62,74,68,54,51,37,30
5,상선,영등포시장,2525,13,18,11,13,20,23,17,12,17,15,17,17,18,21,22,23,24,24,26,30,34,37,43,50,63,79,83,61,57,54,50,48,49,59,50,41,37,29,22
5,상선,신길,2526,11,18,11,14,21,26,18,13,19,16,17,18,19,22,23,25,24,25,27,31,33,38,43,51,65,81,81,60,57,55,48,48,52,58,50,41,38,30,22
5,상선,여의도,2527,9,16,12,16,23,28,16,14,18,17,19,19,21,23,24,26,26,27,29,34,36,41,47,58,75,100,93,66,64,60,54,54,58,65,56,45,39,28,3
5,상선,여의나루,2528,13,19,19,34,54,57,37,23,25,21,22,22,24,25,26,29,29,28,29,32,35,39,45,52,68,84,81,54,51,49,43,44,49,54,47,36,30,23,6
5,상선,마포,2529,13,21,20,37,59,65,39,24,27,23,22,24,24,26,27,31,28,28,30,32,35,40,44,55,68,82,78,52,50,47,42,45,48,53,45,36,31,24,7
5,상선,공덕,2530,12,19,22,41,61,65,41,27,28,24,22,24,25,27,27,30,29,29,30,32,35,40,44,55,67,78,77,52,51,46,41,43,48,51,44,36,31,24,8
5,상선,애오개,2531,13,19,20,35,51,57,35,25,28,24,22,24,25,27,26,31,30,29,31,33,37,41,45,54,67,80,78,54,54,46,41,42,47,50,41,35,30,23,4
5,상선,충정로,2532,18,19,19,34,50,57,36,25,28,24,22,24,25,26,26,30,29,29,31,33,36,41,45,54,66,81,77,54,53,46,41,44,48,51,42,36,31,25,6
5,상선,서대문,2533,17,18,21,36,51,57,36,27,27,24,22,24,25,26,26,30,29,29,31,33,36,41,44,55,66,78,73,52,51,45,39,43,48,50,40,35,29,24,5
5,상선,광화문,2534,16,19,23,39,56,68,45,32,32,26,23,25,26,25,26,30,30,29,31,32,35,38,41,51,62,67,66,49,49,42,37,39,45,47,39,34,28,24,6
5,상선,종로3가,2535,17,22,28,49,76,89,70,46,44,35,29,28,29,28,29,30,32,29,31,30,33,34,39,45,52,44,48,38,39,30,28,27,33,33,29,28,24,17,6
5,상선,을지로4가,2536,16,23,30,51,73,84,66,50,49,37,33,31,31,29,29,31,30,27,28,28,28,31,34,41,46,37,41,33,31,24,22,21,25,24,23,21,18,15,5
5,상선,동대문역사문화공원,2537,16,24,31,56,76,89,73,54,53,40,35,32,32,30,30,31,31,27,28,28,28,31,33,40,42,34,38,30,29,23,21,20,23,24,22,20,18,11,3
5,상선,청구,2538,18,24,32,54,75,92,74,63,57,47,40,37,35,32,33,32,32,28,28,27,27,29,33,38,40,32,35,29,29,21,19,19,21,20,19,15,14,8,3
5,상선,신금호,2539,21,23,35,56,79,94,75,68,61,49,41,40,36,34,35,35,34,30,29,30,29,33,37,43,41,35,38,32,32,23,22,21,24,22,20,18,17,10,4
5,상선,행당,2540,23,34,54,77,92,73,66,60,49,41,39,35,34,35,35,33,30,29,30,30,33,36,42,41,35,39,33,33,24,22,21,25,23,21,19,17,11,4,0
5,상선,왕십리,2541,19,21,32,56,73,88,66,64,58,47,40,38,34,33,35,34,33,30,29,30,30,34,37,43,41,36,40,34,35,25,23,23,25,24,22,20,19,8,2
5,상선,마장,2542,31,25,37,65,86,106,83,80,68,55,44,45,38,40,40,41,35,35,32,33,34,38,40,50,43,40,41,36,34,25,23,23,25,23,21,20,18,7,3
5,상선,답십리,2543,26,37,65,90,104,79,80,67,54,44,44,37,39,39,40,35,34,31,33,33,36,39,48,41,40,39,37,34,24,23,23,25,23,21,20,17,5,3,0
5,상선,장한평,2544,25,25,37,60,83,95,72,74,64,51,42,42,36,37,37,38,34,33,30,31,32,35,38,46,40,39,38,37,34,24,23,23,25,24,21,20,17,6,4
5,상선,군자,2545,23,23,35,58,78,93,74,71,61,47,40,40,35,36,36,37,33,31,30,30,31,34,37,46,36,36,36,37,31,25,23,23,26,24,22,21,18,7,5
5,상선,아차산,2546,28,26,38,63,80,96,75,78,70,54,45,45,40,40,42,42,37,36,35,35,38,42,47,57,47,49,53,51,42,34,30,32,32,32,29,26,17,11,5
5,상선,광나루,2547,25,24,35,58,77,90,71,72,66,51,43,43,38,38,39,39,35,33,33,33,36,40,46,55,46,50,52,52,43,34,30,32,33,32,28,27,17,9,4
5,상선,천호,2548,22,25,36,55,73,85,64,67,57,48,40,41,35,37,36,38,32,32,30,33,34,39,43,55,42,49,51,50,41,32,29,33,31,31,27,28,18,10,4
5,상선,강동,2549,18,21,32,50,70,77,63,61,51,43,35,37,30,33,32,33,29,29,26,27,27,32,36,45,34,38,36,34,28,20,20,20,21,22,18,19,12,3,3
